peak_id,peak_name,elevation_ft,summit_lat,summit_lon,nearest_city,trailhead_name,trailhead_lat,trailhead_lon
104,Rowe Mountain,13140,40.4966435,-105.6483259,,,,
105,Bowen Mountain,12379,40.3604515,-105.9334242,,,,
106,Ruby Mountain,11929,40.3548305,-105.955583,,,,
107,Cascade Mountain,12198,40.3372947,-105.9600288,,,,
108,Nakai Peak,12156,40.3434885,-105.7758546,,,,
109,Mount Ida,12812,40.3717999,-105.7793586,,,,
110,Cracktop,12733,40.3658112,-105.7666649,,,,
111,Mount Julian,12815,40.3710889,-105.7574978,,,,
112,Stones Peak,12881,40.3543079,-105.7204233,,,,
113,Gabletop Mountain,11841,40.3328051,-105.7008721,,,,
114,Notchtop Mountain,11909,40.3192989,-105.6954287,,,,
115,The Sharkstooth,11985,40.2809016,-105.6744513,,,,
116,Arrowhead,12464,40.2684098,-105.6504328,,,,
117,Sprague Mountain,12687,40.3465956,-105.7364074,,,,
118,Knobtop Mountain,12231,40.3244225,-105.7019404,,,,
119,Ptarmigan Point,12254,40.313091,-105.7025519,,,,
120,Hallett Peak,12602,40.3028369,-105.6858275,,,,
121,Otis Peak,12441,40.2920367,-105.6808297,,,,
122,Powell Peak,13136,40.2657707,-105.6646741,,,,
123,McHenrys Peak,13094,40.2629199,-105.6573871,,,,
124,The Spearhead,12310,40.2550433,-105.6382853,,,,
125,Ptarmigan Mountain,12169,40.2568575,-105.7297197,,,,
126,Mount Lady Washington,13186,40.2634916,-105.6072147,,,,
127,Battle Mountain,12100,40.275267,-105.6048032,,,,
128,Twin Peaks,11903,40.1644237,-105.7524977,,,,
129,Cooper Peak,12188,40.1504517,-105.673093,,,,
130,Hiamovi Mountain,12185,40.1583608,-105.695979,,,,
131,Watanga Mountain,12238,40.1685575,-105.7136944,,,,
132,Ogalalla Peak,12963,40.1699945,-105.6668864,,,,
133,Andrews Peak,12497,40.2440483,-105.7100395,,,,
134,Mount Alice,13196,40.2395383,-105.6646585,,,,
135,Pilot Mountain,12070,40.2314985,-105.658891,,,,
136,The Cleaver,12014,40.2172828,-105.6711705,,,,
137,Isolation Peak,13009,40.202347,-105.6777108,,,,
138,Mount Craig,11982,40.2191455,-105.7283305,,,,
139,Mount Adams,12080,40.1839628,-105.7329414,,,,
140,Mahana Peak,12480,40.1993422,-105.6667245,,,,
141,Saint Vrain Mountain,12116,40.1611721,-105.5857614,,,,
142,Mount Meeker,13717,40.2484911,-105.6049924,,,,
143,Mount Neva,12756,40.0069906,-105.688349,,,,
144,North Arapaho Peak,13474,40.0265977,-105.6506581,,,,
145,Arikaree Peak,12871,40.0466647,-105.6384548,,,,
