peak_name,elevation_ft,summit_lat,summit_lon,trailhead_name,trailhead_lat,trailhead_lon
Arrowhead,12464,40.2684098,-105.6504328,,,
Sprague Mountain,12687,40.3465956,-105.7364074,,,
Knobtop Mountain,12231,40.3244225,-105.7019404,,,
Ptarmigan Point,12254,40.313091,-105.7025519,,,
Hallett Peak,12602,40.3028369,-105.6858275,,,
Otis Peak,12441,40.2920367,-105.6808297,,,
Powell Peak,13136,40.2657707,-105.6646741,,,
McHenrys Peak,13094,40.2629199,-105.6573871,,,
The Spearhead,12310,40.2550433,-105.6382853,,,
Ptarmigan Mountain,12169,40.2568575,-105.7297197,,,
Mount Lady Washington,13186,40.2634916,-105.6072147,,,
Battle Mountain,12100,40.275267,-105.6048032,,,
Twin Peaks,11903,40.1644237,-105.7524977,,,
Cooper Peak,12188,40.1504517,-105.673093,,,
Hiamovi Mountain,12185,40.1583608,-105.695979,,,
Watanga Mountain,12238,40.1685575,-105.7136944,,,
Ogalalla Peak,12963,40.1699945,-105.6668864,,,
Andrews Peak,12497,40.2440483,-105.7100395,,,
Mount Alice,13196,40.2395383,-105.6646585,,,
Pilot Mountain,12070,40.2314985,-105.658891,,,
The Cleaver,12014,40.2172828,-105.6711705,,,
Isolation Peak,13009,40.202347,-105.6777108,,,
Mount Craig,11982,40.2191455,-105.7283305,,,
Mount Adams,12080,40.1839628,-105.7329414,,,
Mahana Peak,12480,40.1993422,-105.6667245,,,
Saint Vrain Mountain,12116,40.1611721,-105.5857614,,,
Mount Meeker,13717,40.2484911,-105.6049924,,,
Mount Neva,12756,40.0069906,-105.688349,,,
North Arapaho Peak,13474,40.0265977,-105.6506581,,,
Arikaree Peak,12871,40.0466647,-105.6384548,,,
Navajo Peak,13048,40.0534433,-105.646445,,,
Apache Peak,13176,40.058379,-105.6511043,,,
Shoshoni Peak,12913,40.0670707,-105.6388601,,,
Pawnee Peak,12907,40.081433,-105.632514,,,
Mount Toll,12700,40.0884279,-105.633754,,,
Paiute Peak,12923,40.0974922,-105.6321053,,,
Satanta Peak,11932,40.0255359,-105.689887,,,
Mount George,12657,40.056678,-105.6581017,,,
Mount Achonee,12438,40.072495,-105.6783264,,,
Lone Eagle Peak,11834,40.0693983,-105.6606361,,,
South Arapaho Peak,13274,40.0196352,-105.6497795,,,
Little Pawnee Peak,12267,40.0826932,-105.6209948,,,
Mount Audubon,13153,40.0989998,-105.6162951,,,
Helmet Peak,11873,37.4111246,-108.1272452,,,
Snowstorm Peak,12421,37.4388981,-108.0118789,,,
Cumberland Mountain,12244,37.4440226,-108.0043572,,,
Sharkstooth Peak,12333,37.4598078,-108.0729727,,,
Madden Peak,11936,37.3824578,-108.105802,,,
Deadwood Mountain,12162,37.3828609,-108.0435247,,,
Baker Peak,11827,37.3981726,-108.0317719,,,
Lewis Mountain,12579,37.4220188,-108.0145081,,,
Gibbs Peak,12211,37.4097309,-108.102416,,,
Burwell Peak,12375,37.4209153,-108.0903435,,,
Babcock Peak,12966,37.428296,-108.0770098,,,
Spiller Peak,13002,37.4279158,-108.0872892,,,
Mount Moss,13071,37.4389486,-108.0782487,,,
Centennial Peak,12828,37.4473328,-108.0769016,,,
Hesperus Mountain,12989,37.4450593,-108.0889536,,,
Diorite Peak,12602,37.4399407,-108.0508765,,,
Silver Mountain,12277,37.3868621,-108.0294433,,,
Craig Peak,11857,39.4958122,-106.6381447,,,
Mount Thomas,11854,39.4195977,-106.7435727,,,
Mount Jackson,13583,39.4852904,-106.5366449,,,
Gold Dust Peak,13278,39.4789345,-106.5945946,,,
Fools Peak,12835,39.4508128,-106.5994444,,,
Eagle Peak,12884,39.4453365,-106.5813465,,,
Avalanche Peak,12651,39.4160745,-106.5802137,,,
Middle Mountain,12507,39.4406249,-106.5243578,,,
Savage Peak,13025,39.3803164,-106.5202121,,,
Notch Mountain,13123,39.4773805,-106.4604033,,,
Mount of the Holy Cross,14007,39.4666238,-106.481692,,,
Whitney Peak,13212,39.432725,-106.4729461,,,
Resolution Mountain,11896,39.4899796,-106.2945678,,,
Ptarmigan Hill,12126,39.4947649,-106.2596315,,,
Sugarloaf Peak,12490,39.4624475,-106.2481133,,,
Union Mountain,12201,39.4683306,-106.1749481,,,
Copper Mountain,12392,39.4690021,-106.1570851,,,
Mayflower Hill,12201,39.4233518,-106.142212,,,
Elk Mountain,12674,39.4540558,-106.2382201,,,
Pearl Peak,12113,39.4440063,-106.2462531,,,
Corbett Peak,12562,39.4408143,-106.2311374,,,
North Sheep Mountain,12402,39.4263037,-106.2331112,,,
East Sheep Mountain,11877,39.416648,-106.2089019,,,
Jacque Peak,13107,39.4547731,-106.1970839,,,
Tucker Mountain,12326,39.4552293,-106.1797325,,,
Sheep Mountain,12352,39.414691,-106.2285592,,,
Gold Hill,11913,39.4160676,-106.1603098,,,
Fletcher Mountain,13842,39.4031988,-106.1287279,,,
Little Bartlett Mountain,12884,39.3857985,-106.1612716,,,
Wheeler Mountain,13507,39.3804048,-106.1358001,,,
Bartlett Mountain,13199,39.3769097,-106.1591995,,,
Peak Six,12562,39.4938196,-106.1113148,,,
Peak Seven,12625,39.4784298,-106.1052225,,,
Peak Eight,12900,39.4726922,-106.1024673,,,
Peak Nine,13153,39.4515151,-106.1049864,,,
Peak Ten,13524,39.4431527,-106.1028093,,,
Crystal Peak,13763,39.4345416,-106.1143261,,,
Mount Helen,13045,39.4285095,-106.0871889,,,
Pacific Peak,13852,39.4230866,-106.1231723,,,
Quandary Peak,14272,39.3972537,-106.1063989,,,
North Star Mountain,13415,39.377399,-106.1076986,,,
Red Mountain,13159,39.3944055,-106.0221011,,,
Red Peak,13100,39.3910267,-106.004193,,,
Sellar Peak,11975,39.3117096,-106.5635892,,,
Mount Nast,12382,39.2511753,-106.6117304,,,
Wildcat Mountain,12024,39.2794092,-106.5427121,,,
Homestake Peak,13074,39.3675144,-106.4146325,,,
Galena Mountain,12858,39.3149065,-106.4323575,,,
Buckeye Peak,12838,39.345571,-106.2535389,,,
Mount Zion,12113,39.3113051,-106.2752926,,,
Clinton Peak,13799,39.3681328,-106.1487056,,,
McNamee Peak,13655,39.3625982,-106.1530464,,,
Traver Peak,13720,39.3585103,-106.1483658,,,
Mount Arkansas,13717,39.3324327,-106.1782816,,,
Treasurevault Mountain,13599,39.3064215,-106.1835154,,,
Mosquito Peak,13707,39.300377,-106.1826807,,,
Prospect Mountain,12605,39.2789053,-106.237063,,,
Mount Buckskin,13747,39.3207684,-106.1510739,,,
Loveland Mountain,13648,39.3084437,-106.1397409,,,
Little Ellen Hill,12359,39.2524503,-106.2035118,,,
Mount Evans,13540,39.256795,-106.1815489,,,
London Mountain,13081,39.2844441,-106.1583226,,,
Pennsylvania Mountain,12999,39.264689,-106.1421467,,,
Mount Lincoln,14293,39.351504,-106.1113773,,,
Mount Cameron,14238,39.3463459,-106.1189002,,,
Mount Bross,14178,39.3349948,-106.1071665,,,
Mount Silverheels,13717,39.3392986,-106.0054138,,,
Baldy Mountain,13074,39.1477873,-106.9658646,,,
Highland Peak,12303,39.128871,-106.8769749,,,
Geissler Mountain,13123,39.1451331,-106.5829047,,,
Deer Mountain,13655,39.1574604,-106.5212362,,,
Mount Champion,13586,39.1320898,-106.521471,,,
Mount Massive,14427,39.1873242,-106.4756085,,,
French Mountain,13776,39.1283791,-106.4822818,,,
Long and Derry Hill,12024,39.2173179,-106.2196479,,,
Ball Mountain,12303,39.237339,-106.2215925,,,
Rocky Point,12028,39.1785294,-106.2286429,,,
Empire Hill,12280,39.1917794,-106.2193271,,,
Mount Sheridan,13671,39.2091843,-106.1847544,,,
West Sheridan,12900,39.2169002,-106.2022108,,,
Mount Sherman,14043,39.2251336,-106.1699259,,,
Gemini Peak,13888,39.2347393,-106.1681509,,,
Dyer Mountain,13796,39.2398887,-106.1831941,,,
East Ball Mountain,12815,39.2386163,-106.2018902,,,
West Dyer Mountain,12959,39.2435948,-106.1948395,,,
Ptarmigan Peak,13635,39.1503246,-106.1743044,,,
Horseshoe Mountain,13819,39.1857848,-106.185224,,,
Finnback Knob,13301,39.1925179,-106.1917633,,,
Peerless Mountain,13317,39.1981067,-106.1790067,,,
Weston Peak,13550,39.1364027,-106.1638771,,,
